date,mess,meal,excellent,good,okay,poor,day,score,votes
2024-01-31,2,lunch,0.0,1.1976047904191616,24.550898203592812,74.25149700598801,Wednesday,1.526946107784431,167
2024-02-01,1,lunch,1.1560693641618498,19.075144508670522,27.16763005780347,52.601156069364166,Thursday,2.161849710982659,173
2024-02-01,2,lunch,1.1560693641618498,19.075144508670522,27.16763005780347,52.601156069364166,Thursday,2.161849710982659,173
2024-02-02,2,breakfast,0.704225352112676,4.929577464788732,26.056338028169012,68.30985915492957,Friday,1.6971830985915493,142
2024-02-02,1,breakfast,0.819672131147541,5.737704918032787,18.852459016393443,74.59016393442623,Friday,1.5819672131147542,122
2024-02-02,2,dinner,0.7299270072992701,3.6496350364963503,32.11678832116788,63.503649635036496,Friday,1.781021897810219,137
2024-02-02,1,dinner,0.9615384615384616,20.192307692307693,30.76923076923077,48.07692307692308,Friday,2.2596153846153846,104
2024-02-03,2,breakfast,0.7518796992481203,2.2556390977443606,48.87218045112782,48.1203007518797,Saturday,2.075187969924812,133
2024-02-04,2,breakfast,0.746268656716418,8.208955223880597,42.53731343283582,48.507462686567166,Sunday,2.126865671641791,134
2024-02-04,1,breakfast,1.2820512820512822,35.8974358974359,46.15384615384616,16.666666666666668,Sunday,3.051282051282051,78
2024-02-04,2,lunch,0.6329113924050633,1.89873417721519,7.59493670886076,89.87341772151899,Sunday,1.2341772151898733,158
2024-02-04,1,lunch,0.9433962264150944,0.9433962264150944,6.60377358490566,91.50943396226415,Sunday,1.1981132075471699,106
2024-02-05,2,breakfast,0.78125,7.03125,51.5625,40.625,Monday,2.2734375,128
2024-02-07,2,lunch,1.8018018018018018,15.315315315315315,38.73873873873874,44.14414414414414,Wednesday,2.3063063063063063,111
2024-02-07,1,lunch,2.380952380952381,30.952380952380953,53.57142857142857,13.095238095238095,Wednesday,3.0952380952380953,84
2024-02-09,2,breakfast,0.9345794392523364,7.4766355140186915,59.81308411214953,31.77570093457944,Friday,2.457943925233645,107
2024-02-09,1,breakfast,4.477611940298508,14.925373134328359,37.3134328358209,43.28358208955224,Friday,2.373134328358209,67
2024-02-10,1,breakfast,1.8181818181818181,47.27272727272727,29.09090909090909,21.818181818181817,Saturday,3.0727272727272728,55
2024-02-10,2,breakfast,1.0526315789473684,3.1578947368421053,64.21052631578947,31.57894736842105,Saturday,2.4210526315789473,95
2024-02-10,2,lunch,1.1904761904761905,10.714285714285714,30.952380952380953,57.14285714285714,Saturday,1.9880952380952381,84
2024-02-11,2,breakfast,0.0,4.854368932038835,29.12621359223301,66.01941747572816,Sunday,1.7281553398058251,103
2024-02-11,2,lunch,2.4691358024691357,39.50617283950617,30.864197530864196,27.160493827160494,Sunday,2.9012345679012346,81
2024-02-11,1,lunch,2.4691358024691357,39.50617283950617,30.864197530864196,27.160493827160494,Sunday,2.9012345679012346,81
2024-02-12,1,breakfast,1.7857142857142858,1.7857142857142858,7.142857142857143,89.28571428571429,Monday,1.2678571428571428,56
2024-02-12,2,breakfast,1.3888888888888888,4.166666666666666,27.77777777777778,66.66666666666666,Monday,1.7361111111111112,72
2024-02-14,2,breakfast,2.4096385542168677,9.63855421686747,25.30120481927711,62.65060240963856,Wednesday,1.891566265060241,83
2024-02-14,1,lunch,25.53191489361702,63.829787234042556,8.51063829787234,2.127659574468085,Wednesday,4.1063829787234045,94
2024-02-14,2,breakfast,25.53191489361702,63.829787234042556,8.51063829787234,2.127659574468085,Wednesday,4.1063829787234045,94
2024-02-15,2,breakfast,1.5384615384615385,40.0,32.30769230769231,26.153846153846157,Thursday,2.9076923076923076,65
2024-02-15,2,lunch,2.857142857142857,24.285714285714285,50.0,22.857142857142858,Thursday,2.842857142857143,70
2024-02-16,2,breakfast,1.36986301369863,5.47945205479452,49.31506849315068,43.83561643835616,Friday,2.2054794520547945,73
