dinnerate,mess,meal,excellent,good,average,poor,day,remarks
03-04-2024,1,lunch,0,43,28,15,Wednesday,
03-04-2024,1,lunch,1,10,20,32,Wednesday,
03-04-2024,2,lunch,3,56,24,6,Wednesday,
03-04-2024,2,lunch,0,20,63,13,Wednesday,
03-04-2024,2,lunch,0,23,44,17,Wednesday,
03-04-2024,2,lunch,1,26,32,14,Wednesday,
03-04-2024,1,dinner,9,109,16,10,Wednesday,
03-04-2024,2,dinner,0,7,40,19,Wednesday,
03-04-2024,2,dinner,0,20,43,23,Wednesday,
03-04-2024,1,dinner,0,6,24,36,Wednesday,
04-04-2024,1,dinner,0,19,34,46,Thursday,
04-04-2024,2,dinner,1,27,15,41,Thursday,
04-04-2024,1,dinner,0,18,40,22,Thursday,
04-04-2024,2,dinner,6,47,16,4,Thursday,
05-04-2024,2,breakfast,0,5,27,38,Friday,
05-04-2024,1,breakfast,0,36,24,17,Friday,
05-04-2024,2,dinner,5,85,64,5,Friday,
05-04-2024,1,dinner,0,36,32,20,Friday,
06-04-2024,1,lunch,3,6,17,52,Saturday,
06-04-2024,2,lunch,1,3,18,59,Saturday,
06-04-2024,2,dinner,1,8,36,47,Saturday,
07-04-2024,2,breakfast,7,39,20,9,Sunday,
07-04-2024,2,breakfast,7,78,0,8,Sunday,
07-04-2024,1,breakfast,0,14,20,26,Sunday,
07-04-2024,1,dinner,1,2,11,72,Sunday,
07-04-2024,2,dinner,6,58,27,12,Sunday,
07-04-2024,2,dinner,0,2,20,31,Sunday,
07-04-2024,1,dinner,0,2,20,31,Sunday,
08-04-2024,1,breakfast,0,2,32,32,Monday,
08-04-2024,2,breakfast,0,2,34,35,Monday,
08-04-2024,2,lunch,0,6,27,27,Monday,
08-04-2024,1,lunch,0,23,26,19,Monday,
08-04-2024,1,dinner,0,9,14,20,Monday,
08-04-2024,2,dinner,0,1,5,33,Monday,SPECIAL
09-04-2024,1,breakfast,32,19,2,6,Tuesday,
09-04-2024,2,breakfast,77,2,0,3,Tuesday,
09-04-2024,2,lunch,103,2,4,3,Tuesday,
09-04-2024,1,lunch,89,15,0,3,Tuesday,
10-04-2024,2,breakfast,2,3,13,40,Wednesday,
10-04-2024,1,breakfast,0,21,15,26,Wednesday,
10-04-2024,1,lunch,0,12,25,65,Wednesday,
10-04-2024,1,lunch,0,1,2,77,Wednesday,
10-04-2024,2,lunch,0,7,29,36,Wednesday,
10-04-2024,2,lunch,0,0,0,85,Wednesday,
11-04-2024,2,breakfast,0,5,17,23,Thursday,
11-04-2024,1,breakfast,0,6,20,60,Thursday,
11-04-2024,1,lunch,1,23,38,29,Thursday,
11-04-2024,2,lunch,0,4,11,63,Thursday,
12-04-2024,2,breakfast,0,5,21,4,Friday,
12-04-2024,1,breakfast,0,1,13,18,Friday,
12-04-2024,2,lunch,0,8,35,4,Friday,
12-04-2024,2,lunch,0,5,28,11,Friday,
12-04-2024,1,lunch,0,19,23,12,Friday,
12-04-2024,1,lunch,0,6,22,21,Friday,
12-04-2024,2,dinner,3,35,41,44,Friday,
12-04-2024,1,dinner,1,10,34,25,Friday,
13-04-2024,1,breakfast,0,17,36,24,Saturday,
13-04-2024,2,breakfast,3,24,24,20,Saturday,
18-04-2024,1,lunch,6,66,24,9,Thursday,
18-04-2024,1,lunch,13,40,29,14,Thursday,
18-04-2024,1,dinner,1,16,13,80,Thursday,
18-04-2024,1,dinner,3,60,30,10,Thursday,
18-04-2024,2,lunch,3,24,20,46,Thursday,
18-04-2024,2,lunch,4,27,36,16,Thursday,
18-04-2024,2,dinner,2,5,14,68,Thursday,
18-04-2024,2,dinner,2,30,25,25,Thursday,
18-04-2024,1,lunch,5,30,19,7,Thursday,
18-04-2024,2,lunch,1,7,7,31,Thursday,
18-04-2024,1,breakfast,0,0,11,92,Thursday,
18-04-2024,2,breakfast,0,6,30,69,Thursday,
18-04-2024,2,dinner,0,0,10,87,Thursday,
18-04-2024,1,dinner,0,0,11,106,Thursday,
19-04-2024,2,breakfast,1,10,38,19,Friday,
19-04-2024,1,breakfast,0,12,42,10,Friday,
19-04-2024,1,lunch,0,2,43,22,Friday,
19-04-2024,2,lunch,0,6,27,24,Friday,
19-04-2024,1,lunch,0,3,30,30,Friday,
19-04-2024,2,lunch,0,0,33,21,Friday,
19-04-2024,2,dinner,0,1,24,171,Friday,
19-04-2024,2,dinner,5,43,14,9,Friday,
20-04-2024,1,breakfast,0,27,44,14,Saturday,
20-04-2024,2,breakfast,0,15,45,7,Saturday,
